cand_name,cand_party,cand_cons,vote_share,total_reported_spending,electorate_figure,spending_limit,spending_limit_percent,direct_spending,national_spending,unpaid_claims,disputed_claims,advertising,unsolicited_material,transport,public_meeting,agent_staff,accomodation,personal_expenses,donations_accepted
Captain Beany,Independent and Other,Aberavon,2.31,50.00,7,NaN,NaN,50.00,0.00,0.00,0.00,30.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00
Stephen Kinnock,Labour Party,Aberavon,53.83,"12,509.28","50,750","13,136.91",95.22,0.00,0.00,0.00,0.00,569.80,"7,520.80",377.56,0.00,200.00,"3,841.12",0.00,"14,344.00"
Glenda Davies,Brexit Party,Aberavon,9.84,"4,933.78","50,747","13,136.91",37.56,110.28,"4,823.50",0.00,0.00,"2,705.50","2,228.28",0.00,0.00,0.00,0.00,0.00,0.00
Sheila Kingston-Jones,Liberal Democrats,Aberavon,3.39,225.67,NaN,"13,136.91",1.72,90.99,134.68,0.00,0.00,0.00,225.67,0.00,0.00,0.00,0.00,0.00,134.68
Nigel Hunt,Plaid Cymru,Aberavon,8.58,"1,515.00","50,750","13,136.91",11.53,"1,515.00",0.00,0.00,0.00,0.00,"1,515.00",0.00,0.00,0.00,0.00,0.00,0.00
Giorgia Finney,Green Party,Aberavon,1.42,0.00,"49,299","13,136.91",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Charlotte Lang,Conservative and Unionist Party,Aberavon,20.63,"1,199.30","50,747",NaN,NaN,"1,144.30",55.00,0.00,0.00,0.00,"1,149.30",0.00,0.00,50.00,0.00,0.00,100.00
Robin Millar,Conservative and Unionist Party,Aberconwy,46.09,"9,246.98","43,854","12,548.88",73.69,0.00,"9,246.98",0.00,0.00,"1,590.70","4,883.26",292.72,18.64,"2,099.59",362.07,100.00,"9,246.98"
Emily Owen,Labour Party,Aberconwy,39.71,"10,735.77","43,854","12,646.00",84.89,0.00,"10,735.77",0.00,0.00,"1,892.28","6,372.67",35.30,0.00,"1,475.29",960.23,0.00,"10,735.77"
Jason Edwards,Liberal Democrats,Aberconwy,5.71,"3,582.29","43,854","12,646.86",28.33,"2,224.94","1,357.35",0.00,0.00,467.18,"1,816.90",0.00,70.45,360.00,867.76,0.00,40.00
Lisa Goodier,Plaid Cymru,Aberconwy,8.49,"2,696.27","44,699","12,646.86",21.32,"2,216.24",480.00,0.00,0.00,580.80,"2,115.44",0.00,0.00,0.00,0.00,0.00,0.00
Kirsty Blackman,Scottish National Party,Aberdeen North,54.01,"9,953.85","58,282","12,196.92",81.61,"9,203.85",750.00,0.00,0.00,83.86,"8,972.99",0.00,0.00,0.00,897.00,0.00,"7,607.00"
Isobel Davidson,Liberal Democrats,Aberdeen North,7.61,"2,167.00","62,489","12,449.34",17.41,0.00,"2,167.00",0.00,0.00,0.00,"2,167.00",0.00,0.00,0.00,0.00,11.07,0.00
Guy Ingerson,Scottish Green Party,Aberdeen North,2.35,532.08,"58,282","12,196.92",4.36,0.00,532.08,0.00,0.00,0.00,532.08,0.00,0.00,0.00,0.00,0.00,552.08
Nurul Hoque Ali,Labour Party,Aberdeen North,13.2,"3,089.40","62,489","12,449.34",24.82,"3,089.40",0.00,0.00,0.00,40.04,"3,049.36",0.00,0.00,0.00,0.00,0.00,"3,089.40"
Ryan Houghton,Conservative and Unionist Party,Aberdeen North,20.14,837.35,"62,489","12,449.34",6.73,0.00,837.35,0.00,0.00,147.67,254.68,0.00,0.00,240.00,195.00,0.00,837.35
Ian Yuill,Liberal Democrats,Aberdeen South,11,"4,999.54","65,719",NaN,NaN,"4,209.10",90.44,0.00,0.00,0.00,"4,999.54",0.00,0.00,0.00,0.00,0.00,700.00
Stephen Flynn,Scottish National Party,Aberdeen South,44.67,"9,467.95","61,890","12,413.40",76.27,"8,667.95",800.00,0.00,0.00,50.00,"8,667.95",0.00,0.00,0.00,750.00,0.00,"8,200.00"
Douglas Lumsden,Conservative and Unionist Party,Aberdeen South,35.93,"11,454.90","65,719","12,643.14",90.6,0.00,"11,454.90",0.00,0.00,909.47,"7,133.35",0.00,0.00,"1,210.00","2,202.08",65.00,"11,454.90"
